"","lang","x","xs","prob"
"1","Arabic",0.188481917628911,0.186686586063736,0.2
"2","Basque",0.0467106145981394,0.0533003181366642,1
"3","Catalan",0.221062646686929,0.145037001668273,0
"4","Chinese",0.170795126941289,0.0928496894681192,0
"5","Czech",0.121714083667437,0.0695547680836246,0
"6","English",0.235297386505506,0.239928899374649,1
"7","Greek",0.133772700499792,0.14706779931683,1
"8","Hungarian",0.0508471879053948,0.071702711716022,1
"9","Italian",0.143705714825722,0.197853988741757,1
"10","Turkish",0.223585094814693,0.247090424963631,1
